list,category,id,name,brand,price,dimension10,metric5,position
Bacanie & Lichide,Bacanie & Lichide,14522796,Rondele Bake Rolls 7 Days cu usturoi 150 g,7Days,3.89,available,0,1
Bacanie & Lichide,Bacanie & Lichide,10500562,"Vin Spumant Rosu Zarea Crystal Collection, Demisec, 0.75l",Zarea,26.9,available,0,2
Bacanie & Lichide,Bacanie & Lichide,14506200,"Cozonac Boromir cu crema de lapte, 450 g",Boromir,7.91,available,0,3
Bacanie & Lichide,Bacanie & Lichide,10507464,"Pachet Vin rosu Domeniile Recas, Syrah & Merlot 0.75L + 0.75L + pahar",Domeniile Recas,51.9,available,0,4
Bacanie & Lichide,Bacanie & Lichide,14519765,Sare de Himalaya Kotanyi iodata 95 g,Kotanyi,7.29,available,0,5
Bacanie & Lichide,Bacanie & Lichide,14003389,Rasnita Kotany cu usturoi granulat 48g,Kotanyi,7.29,available,0,6
Bacanie & Lichide,Bacanie & Lichide,10506878,"Vin rosu Dealurile Vinului, demisec, 2L",Dealurile Vinului,10.9,available,0,7
Bacanie & Lichide,Bacanie & Lichide,12001856,"Vin alb Recas Castel Huniade Riesling, Sec, 0.75L",Recas,18.71,available,0,8
Bacanie & Lichide,Bacanie & Lichide,14500979,Pasca Boromir cu branza si stafide 650 g,Boromir,24.9,available,0,9
Bacanie & Lichide,Bacanie & Lichide,10508001,"Whisky Ballantine's ACDC, editie limitata, 0.7L",Ballantine's,53.9,available,0,10
Bacanie & Lichide,Bacanie & Lichide,10505844,"Vin alb, Pagaia , Sauvignon Blanc, 0.75L",Crama Hamangia,45.9,available,0,11
Bacanie & Lichide,Bacanie & Lichide,10501991,Vin rosu Premiat Merlot&Pinot Noir Demidulce 0.75L,Beciul Domnesc,8.9,available,0,12
Bacanie & Lichide,Bacanie & Lichide,10501990,"Vin rosu Premiat Vincon Feteasca Neagra, demisec, 0.75L",Vincon,8.9,available,0,13
Bacanie & Lichide,Bacanie & Lichide,14520679,Cozonac Boromir cu crema de cacao si rahat 500 g,Boromir,9.99,available,0,14
Bacanie & Lichide,Bacanie & Lichide,10505457,"Vin alb sec Aurelia Visinescu, Nomad Pinot Grigio, 0.75L",Aurelia Visinescu,24.9,available,0,15
Bacanie & Lichide,Bacanie & Lichide,10505884,"Vin rose, Duh Bio , 0.75L",Domeniul Bogdan,25.7,available,0,16
Bacanie & Lichide,Bacanie & Lichide,10505885,"Vin alb, Duh Chardonnay BIO, 0.75L",Domeniul Bogdan,25.7,available,0,17
Bacanie & Lichide,Bacanie & Lichide,10505886,"Vin alb, Duh Bio, Sauvignon Blanc & Muscat Ottonel &Chardonnay  0.75L",Princiar,25.7,available,0,18
Bacanie & Lichide,Bacanie & Lichide,10505887,"Vin rosu, Duh Bio Merlot & Cabernet Sauvignon & Syrah , 0.75L",Domeniul Bogdan,25.7,available,0,19
Bacanie & Lichide,Bacanie & Lichide,12001311,Vin spumant Millenium Demisec 0.7L,The Iconic Estate,19.9,available,0,20
Bacanie & Lichide,Bacanie & Lichide,10503478,"Vin Astrum Cervi Sauvignon Blanc, 0.75L",Crama Ceptura,15.9,available,0,21
Bacanie & Lichide,Bacanie & Lichide,10005540,"Vin alb Domeniul Bogdan Duh Chardonnay, sec, 0.75L",Domeniul Bogdan,25.7,available,0,22
Bacanie & Lichide,Bacanie & Lichide,10005541,"Vin alb Domeniul Bogdan Duh, sec, 0.75L",Domeniul Bogdan,25.7,available,0,23
Bacanie & Lichide,Bacanie & Lichide,10005542,"Vin rosu Domeniul Bogdan Duh Cupaj, sec, 0.75L",Domeniul Bogdan,25.7,available,0,24
Bacanie & Lichide,Bacanie & Lichide,10005539,"Vin rose Domeniul Bogdan Duh Cupaj, sec, 0.75L",Domeniul Bogdan,25.7,available,0,25
Bacanie & Lichide,Bacanie & Lichide,10505497,"Vin rosu sec, Taraboste Pinot Noir, 0.75L",Chateau Vartely,75.9,available,0,26
Bacanie & Lichide,Bacanie & Lichide,10506188,"Vin Rosu Sange de Taur, Demidulce, 0.75 l",Domeniile Tohani,14.9,available,0,27
Bacanie & Lichide,Bacanie & Lichide,14503190,Fursecuri nuci cu rom Happy Fursec 500g,Happy,14.99,available,0,28
Bacanie & Lichide,Bacanie & Lichide,10000426,"Vin alb Maiastru Crama Oprisor, Sauvignon Blanc, 0.75L",Crama Oprisor,13.9,available,0,29
Bacanie & Lichide,Bacanie & Lichide,10501637,"Vin Alb Maiastru Sauvignon Blanc, Sec, 0.25 L",Crama Oprisor,5.9,available,0,30
Bacanie & Lichide,Bacanie & Lichide,10507673,"Vin alb Domeniile Davidescu, Generatii, Chardonnay & Cabernet Sauvignon, sec, 0.75L",Domeniile Davidescu,66.9,available,0,31
Bacanie & Lichide,Bacanie & Lichide,14503189,Fursecuri cu rom Happy Fursec 300g,Happy,8.99,available,0,32
Bacanie & Lichide,Bacanie & Lichide,10505495,"Vin alb dulce, Villa Vinea Contessa, 375ml",Villa Vinea,70.9,available,0,33
Bacanie & Lichide,Bacanie & Lichide,10506048,"Vin rose sec, Davino Augustin, 0.75L",Davino,36.9,available,0,34
Bacanie & Lichide,Bacanie & Lichide,10505858,"Vin rosu sec, Dealurile Maderatului, 0.75L",Dealurile Maderatului,26.9,available,0,35
Bacanie & Lichide,Bacanie & Lichide,14006994,"File de macrou Navodul Plin in sos tomat, 180g",Navodul Plin,7.49,available,0,36
Bacanie & Lichide,Bacanie & Lichide,14006995,"File de macrou Navodul Plin in ulei de floarea soarelui, 170g",Navodul Plin,7.49,available,0,37
Bacanie & Lichide,Bacanie & Lichide,10507670,"Vin rosu Domeniile Davidescu, Generatii, Saperavi, sec, 0.75L",Domeniile Davidescu,91.9,available,0,38
Bacanie & Lichide,Bacanie & Lichide,10503679,"Vin alb Nativus Zghihara Averesti, sec, 0.75 L",Domeniile Averesti,33.9,available,0,39
Bacanie & Lichide,Bacanie & Lichide,10504067,"Vin alb Maiastru Cramele Oprisor Riesling Italian, 13.5% alc., 0.75L",Maiastru,13.9,available,0,40
Bacanie & Lichide,Bacanie & Lichide,14501952,Piscoturi Carrefour Original 400 g,Carrefour Original,7.59,available,0,41
Bacanie & Lichide,Bacanie & Lichide,10505123,Vin alb Strunga Sauvignon Blanc 0.75L,Strunga,23.9,available,0,42
Bacanie & Lichide,Bacanie & Lichide,10505472,"Vin spumant alb, Rhein Extra Brut Natur Vintage, 0.75L",Rhein,129.9,available,0,43
