available,manufacturerName,manufacturerSubBrandName,code,badges,images,name,productPackagingQuantity,productProposedPackaging2,url,formattedValue,discountedPriceFormatted,feeValue,potentialPromotion,potentialPromotionEndDate,quantity
True,Luc Belaire,,19915,[],"['https://static.mega-image.ro/medias/sys_master/h59/h80/9264548675614.jpg', 'https://static.mega-image.ro/medias/sys_master/hc6/h17/9264548610078.jpg', 'https://static.mega-image.ro/medias/sys_master/ha4/hae/9264548937758.jpg', 'https://static.mega-image.ro/medias/sys_master/hef/hed/9264548544542.jpg', 'https://static.mega-image.ro/medias/sys_master/ha4/hae/9264548937758.jpg', 'https://static.mega-image.ro/medias/sys_master/h8f/h80/9264549134366.jpg']",Vin spumant brut ,,,/Bauturi/Vinuri/Vin-spumant-si-sampanie/Vin-spumant-brut-0-75l/p/19915,198.99,139.29,,-30%,06/01/2026 21:59:00,0.75l
True,Fantinel,,16906,[],"['https://static.mega-image.ro/medias/sys_master/h44/h1e/9236580171806.jpg', 'https://static.mega-image.ro/medias/sys_master/hc7/h8e/9236580106270.jpg', 'https://static.mega-image.ro/medias/sys_master/hf7/hec/9236580433950.jpg', 'https://static.mega-image.ro/medias/sys_master/hfc/haf/9236580040734.jpg', 'https://static.mega-image.ro/medias/sys_master/hf7/hec/9236580433950.jpg']",Vin Spumant Extra Dry ,,,/Bauturi/Vinuri/Vin-spumant-si-sampanie/Vin-Spumant-Extra-Dry-1-5L/p/16906,145.72,102.0,,-30%,06/01/2026 21:59:00,1.5L
True,Vila Babiciu,,16490,[],"['https://static.mega-image.ro/medias/sys_master/h2b/h81/9261163708446.jpg', 'https://static.mega-image.ro/medias/sys_master/h46/h62/9261163642910.jpg', 'https://static.mega-image.ro/medias/sys_master/h30/h6a/9261163970590.jpg', 'https://static.mega-image.ro/medias/sys_master/hc5/h63/9261163577374.jpg', 'https://static.mega-image.ro/medias/sys_master/h30/h6a/9261163970590.jpg', 'https://static.mega-image.ro/medias/sys_master/h25/hd1/9261164167198.jpg']",Vin rosu sec ,1.0,,/Bauturi/Vinuri/Vin-rosu/Vin-rosu-sec-0-75L/p/16490,33.0,27.39,,-17%,08/05/2024 20:59:00,0.75L
True,Vilarnau,,16489,[],"['https://static.mega-image.ro/medias/sys_master/hc6/hf3/9236553629726.jpg', 'https://static.mega-image.ro/medias/sys_master/h91/hac/9236553564190.jpg', 'https://static.mega-image.ro/medias/sys_master/h3e/hf5/9236553891870.jpg', 'https://static.mega-image.ro/medias/sys_master/h47/h27/9236553498654.jpg', 'https://static.mega-image.ro/medias/sys_master/h3e/hf5/9236553891870.jpg']",Vin spumant Brut Reserva ,1.0,,/Bauturi/Vinuri/Vin-spumant-si-sampanie/Vin-spumant-Brut-Reserva-0-75l/p/16489,80.0,72.0,,CONNECT -10%,08/05/2024 20:59:00,0.75l
True,Vilarnau,,16488,[],"['https://static.mega-image.ro/medias/sys_master/hc3/ha0/9284035543070.jpg', 'https://static.mega-image.ro/medias/sys_master/h63/h8b/9284035477534.jpg', 'https://static.mega-image.ro/medias/sys_master/h93/h42/9284035870750.jpg', 'https://static.mega-image.ro/medias/sys_master/h09/ha1/9284035411998.jpg', 'https://static.mega-image.ro/medias/sys_master/h93/h42/9284035870750.jpg', 'https://static.mega-image.ro/medias/sys_master/hc4/h8f/9284036100126.jpg']",Vin Spumant Brut Reserva Rose ,1.0,,/Bauturi/Vinuri/Vin-spumant-si-sampanie/Vin-Spumant-Brut-Reserva-Rose-0-75L/p/16488,80.0,72.0,,CONNECT -10%,08/05/2024 20:59:00,0.75L
True,Albalact,,12449,[],"['https://static.mega-image.ro/medias/sys_master/h1f/h21/9071452258334.jpg', 'https://static.mega-image.ro/medias/sys_master/h00/h8a/9071452192798.jpg', 'https://static.mega-image.ro/medias/sys_master/hcf/h18/9071452520478.jpg', 'https://static.mega-image.ro/medias/sys_master/hd7/hb2/9071452127262.jpg', 'https://static.mega-image.ro/medias/sys_master/hcf/h18/9071452520478.jpg']",Chefir 3% grasime ,1.0,,/Lactate-si-oua/Iaurt-sana-si-smantana/Chefir/Chefir-3-grasime-330g/p/12449,4.34,4.34,,-30% la al 2-lea,08/05/2024 20:59:00,330g
True,Hell,Energy Drink,27904,[],"['https://static.mega-image.ro/medias/sys_master/h35/h6b/9278770970654.jpg', 'https://static.mega-image.ro/medias/sys_master/h5c/h96/9278770905118.jpg', 'https://static.mega-image.ro/medias/sys_master/hd4/hd7/9278771232798.jpg', 'https://static.mega-image.ro/medias/sys_master/hde/h07/9278770839582.jpg', 'https://static.mega-image.ro/medias/sys_master/hd4/hd7/9278771232798.jpg', 'https://static.mega-image.ro/medias/sys_master/h92/h2d/9278771429406.jpg']",Bautura energizanta cu aroma de mere ,1.0,,/Apa-si-sucuri/Energizante-/Energizant/Bautura-energizanta-cu-aroma-de-mere-250ml/p/27904,3.59,3.59,,-30% la al 2-lea,15/05/2024 20:59:00,250ml
True,Heidi,Dark,32037,[],"['https://static.mega-image.ro/medias/sys_master/h77/h03/9102129758238.jpg', 'https://static.mega-image.ro/medias/sys_master/h5d/h22/9102129692702.jpg', 'https://static.mega-image.ro/medias/sys_master/h59/hba/9102130020382.jpg', 'https://static.mega-image.ro/medias/sys_master/h2f/h95/9102129627166.jpg', 'https://static.mega-image.ro/medias/sys_master/h59/hba/9102130020382.jpg']",Ciocolata amaruie 50% cacao ,1.0,,/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-amaruie-50-cacao-80g/p/32037,9.08,5.99,,CONNECT -34%,08/05/2024 20:59:00,80g
True,Lizi's,,30805,[],"['https://static.mega-image.ro/medias/sys_master/ha2/h36/9069260931102.jpg', 'https://static.mega-image.ro/medias/sys_master/h8b/h55/9069260865566.jpg', 'https://static.mega-image.ro/medias/sys_master/h2e/hb9/9069261193246.jpg', 'https://static.mega-image.ro/medias/sys_master/h59/hc8/9069260800030.jpg', 'https://static.mega-image.ro/medias/sys_master/h2e/hb9/9069261193246.jpg']",Musli Original ,1.0,,/Paine-cafea-cereale-si-mic-dejun/Musli-fulgi-si-cereale/Musli/Musli-Original-500g/p/30805,39.56,27.69,,-30%,06/01/2026 21:59:00,500g
True,Johnnie Walker,,18310,[],"['https://static.mega-image.ro/medias/sys_master/hf8/h1a/8824110612510.jpg', 'https://static.mega-image.ro/medias/sys_master/h35/h71/8824110546974.jpg', 'https://static.mega-image.ro/medias/sys_master/hcb/hc0/8824110874654.jpg', 'https://static.mega-image.ro/medias/sys_master/hc5/hfd/8824110481438.jpg', 'https://static.mega-image.ro/medias/sys_master/hcb/hc0/8824110874654.jpg']",Whisky Red Label ,1.0,,/Bauturi/Bauturi-aperitive-si-spirtoase/Whisky/Whisky-Red-Label-1l/p/18310,99.19,87.29,,-12%,08/05/2024 20:59:00,1l
