available,manufacturerName,manufacturerSubBrandName,code,badges,images,name,productPackagingQuantity,productProposedPackaging2,url,formattedValue,discountedPriceFormatted,feeValue,potentialPromotion,potentialPromotionEndDate,quantity
True,Lizi's,,28937,[],"['https://static.mega-image.ro/medias/sys_master/h25/hba/9099971592222.jpg', 'https://static.mega-image.ro/medias/sys_master/h72/h66/9099971526686.jpg', 'https://static.mega-image.ro/medias/sys_master/hdc/h16/9099971854366.jpg', 'https://static.mega-image.ro/medias/sys_master/h6d/h28/9099971461150.jpg', 'https://static.mega-image.ro/medias/sys_master/hdc/h16/9099971854366.jpg']",Cereale cu fructul pasiunii si fistic ,1.0,,/Paine-cafea-cereale-si-mic-dejun/Musli-fulgi-si-cereale/Musli/Cereale-cu-fructul-pasiunii-si-fistic-400g/p/28937,39.56,27.69,,-30%,06/01/2026 21:59:00,400g
True,Kamis,,31070,[],"['https://static.mega-image.ro/medias/sys_master/h2c/hc2/9257125412894.jpg', 'https://static.mega-image.ro/medias/sys_master/hcb/h43/9257125347358.jpg', 'https://static.mega-image.ro/medias/sys_master/h61/h93/9257125675038.jpg', 'https://static.mega-image.ro/medias/sys_master/he5/h24/9257125281822.jpg', 'https://static.mega-image.ro/medias/sys_master/h61/h93/9257125675038.jpg', 'https://static.mega-image.ro/medias/sys_master/h86/h5c/9257125871646.jpg']",Vanilie pastaie ,1.0,,/Ingrediente-culinare/Sare-condimente-si-produse-instant/Condimente/Vanilie-pastaie-2g/p/31070,34.69,24.28,,-30%,06/01/2026 21:59:00,2g
True,Bormioli,,37281,[],"['https://static.mega-image.ro/medias/sys_master/hbb/h72/8982426320926.jpg', 'https://static.mega-image.ro/medias/sys_master/h01/h51/8982426255390.jpg', 'https://static.mega-image.ro/medias/sys_master/h6b/h01/8982426583070.jpg', 'https://static.mega-image.ro/medias/sys_master/hd7/h82/8982426189854.jpg', 'https://static.mega-image.ro/medias/sys_master/h6b/h01/8982426583070.jpg']",Capac Quattro Stagioni 70mm cu suprafata de scriere,1.0,,/Curatenie-si-nealimentare/Vesela-si-tacamuri/Tacamuri-si-accesorii/Capac-Quattro-Stagioni-70mm-cu-suprafata-de-scriere/p/37281,17.99,5.4,,-70%,06/01/2026 21:59:00,nan
True,Colgate,,31295,[],"['https://static.mega-image.ro/medias/sys_master/h92/h3b/9215000707102.jpg', 'https://static.mega-image.ro/medias/sys_master/h4d/h2d/9215000641566.jpg', 'https://static.mega-image.ro/medias/sys_master/ha9/he8/9215000969246.jpg', 'https://static.mega-image.ro/medias/sys_master/h5e/ha9/9215000576030.jpg', 'https://static.mega-image.ro/medias/sys_master/ha9/he8/9215000969246.jpg']",Periute de dinti Medium 360 Black ,1.0,,/Cosmetice-si-ingrijire-personala/Pasta-de-dinti-si-periute-de-dinti/Periute-de-dinti/Periute-de-dinti-Medium-360-Black-2-buc/p/31295,32.86,16.43,,-50%,06/01/2026 21:59:00,2 buc
True,Barilla,,31904,[],"['https://static.mega-image.ro/medias/sys_master/hd9/hd9/9251969400862.jpg', 'https://static.mega-image.ro/medias/sys_master/hc6/ha7/9251969335326.jpg', 'https://static.mega-image.ro/medias/sys_master/h5b/hf7/9251969663006.jpg', 'https://static.mega-image.ro/medias/sys_master/hbc/hc9/9251969269790.jpg', 'https://static.mega-image.ro/medias/sys_master/h5b/hf7/9251969663006.jpg']",Sos de rosii cu ricotta ,1.0,,/Ingrediente-culinare/Sosuri-si-paste-de-tomate/Sosuri-pentru-paste/Sos-de-rosii-cu-ricotta-400g/p/31904,16.61,13.29,,CONNECT -20%,15/05/2024 20:59:00,400g
True,Miyata,,33240,[],"['https://static.mega-image.ro/medias/sys_master/he2/h13/9009590960158.jpg', 'https://static.mega-image.ro/medias/sys_master/h0c/hea/9009590894622.jpg', 'https://static.mega-image.ro/medias/sys_master/h17/h5f/9009591222302.jpg', 'https://static.mega-image.ro/medias/sys_master/h39/h77/9009590829086.jpg', 'https://static.mega-image.ro/medias/sys_master/h17/h5f/9009591222302.jpg']",Alge Nori ,1.0,,/Ingrediente-culinare/Sosuri-si-paste-de-tomate/Sosuri-internationale/Alge-Nori-14g/p/33240,21.49,15.04,,-30%,06/01/2026 21:59:00,14g
True,Parodontax,,33435,[],"['https://static.mega-image.ro/medias/sys_master/h79/h1c/9010152013854.jpg', 'https://static.mega-image.ro/medias/sys_master/he7/hae/9010151948318.jpg', 'https://static.mega-image.ro/medias/sys_master/h49/hbf/9010152275998.jpg', 'https://static.mega-image.ro/medias/sys_master/h87/hea/9010151882782.jpg', 'https://static.mega-image.ro/medias/sys_master/h49/hbf/9010152275998.jpg']","Periuta de dinti Complete protection Soft, diverse culori",1.0,,/Cosmetice-si-ingrijire-personala/Pasta-de-dinti-si-periute-de-dinti/Periute-de-dinti/Periuta-de-dinti-Complete-protection-Soft-diverse-culori/p/33435,19.59,15.67,,CONNECT -20%,15/05/2024 20:59:00,nan
True,Geisha,,33755,[],"['https://static.mega-image.ro/medias/sys_master/h3e/h77/9016551145502.jpg', 'https://static.mega-image.ro/medias/sys_master/h93/hfc/9016551079966.jpg', 'https://static.mega-image.ro/medias/sys_master/hc3/h59/9016551407646.jpg', 'https://static.mega-image.ro/medias/sys_master/h79/h1a/9016551014430.jpg', 'https://static.mega-image.ro/medias/sys_master/hc3/h59/9016551407646.jpg']","Bomboane de ciocolata cu lapte, cu crema de alune de padure ",1.0,,/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Bomboane-de-ciocolata-cu-lapte-cu-crema-de-alune-de-padure-150g/p/33755,23.79,20.22,,-15%,15/05/2024 20:59:00,150g
True,VIVALDI,,34013,[],"['https://static.mega-image.ro/medias/sys_master/hd0/hd0/9010905939998.jpg', 'https://static.mega-image.ro/medias/sys_master/h4f/ha0/9010905874462.jpg', 'https://static.mega-image.ro/medias/sys_master/h8c/h16/9010906202142.jpg', 'https://static.mega-image.ro/medias/sys_master/hc3/h86/9010905808926.jpg', 'https://static.mega-image.ro/medias/sys_master/h8c/h16/9010906202142.jpg']",Vin rosu Appasimento ,1.0,,/Bauturi/Vinuri/Vin-rosu/Vin-rosu-Appasimento-0-75L/p/34013,110.0,93.5,,-15%,29/05/2024 20:59:00,0.75l
True,VIVALDI,,34010,[],"['https://static.mega-image.ro/medias/sys_master/h7d/h7c/9010903121950.jpg', 'https://static.mega-image.ro/medias/sys_master/hde/hfa/9010903056414.jpg', 'https://static.mega-image.ro/medias/sys_master/hf4/hf2/9010903384094.jpg', 'https://static.mega-image.ro/medias/sys_master/h34/h88/9010902990878.jpg', 'https://static.mega-image.ro/medias/sys_master/hf4/hf2/9010903384094.jpg']",Vin rosu Amarone Della Valpolicella ,1.0,,/Bauturi/Vinuri/Vin-rosu/Vin-rosu-Amarone-Della-Valpolicella-0-75L/p/34010,200.0,170.0,,-15%,29/05/2024 20:59:00,0.75l
